date,title,content
2024-12-26,"대법, ‘가습기 살균제 사건’ SK케미칼·애경 유죄 원심 파기","가습기 살균제 사건으로 기소된SK케미칼과 애경산업 전 대표에게 금고형을 선고한 하급심 판결이 대법원에서 뒤집혔다.지난 1월 11일 오후 서울 서초구 서울고등법원 앞에서 가습기살균제 피해자와 시민사회단체 관계자들이 가습기살균제SK·애경 등 항소심 선고공판을 마치고 기자회견을 하고 있다. /뉴스1대법원 1부(주심 서경환 대법관)는 26일 업무상 과실치사 등 혐의로 기소된 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 각각 금고 4년을 선고한 원심 판결을 깨고 사건을 서울고법으로 돌려보냈다.이들은 2002~2011년 인체 유해 물질인 클로로메틸아이소티아졸리논(CMIT)·메틸아이소티아졸리논(MIT)이 첨가된 가습기 살균제 ‘가습기 메이트’ 등을 제조·판매한 혐의로 2019년 7월 기소됐다. 이들이 판매한 가습기 살균제 사용자 중 98명이 폐 질환과 천식 등을 앓았고, 그중 12명이 숨졌다.1심은 피고인 전부에게 무죄를 선고했다.CMIT·MIT가 폐 질환과 천식을 유발한다는 사실이 입증됐다고 보기 어렵다고 봤다. 1심은 “가습기 살균제의 위험성을 확인하기 위해 동물 실험과 역학 조사 등이 이뤄졌으나 폐 질환과 천식에 영향을 줬다는 결론을 도출하기에는 부족하다”고 했다.그러나 2심은 이를 뒤집고 홍 전 대표와 안 전 대표에게 각각 금고 4년을 선고했다. 피고인들의 업무상 과실에 따라 피해가 발생했다는 인과성을 인정한 것이다.2심은 “CMIT·MIT성분과 폐 질환, 천식과의 일반적 인과관계를 뒷받침하는 과학적 연구들이 존재한다”면서 “제품 출시 전 안전성 검사를 수행했어야 함에도 이를 이행하지 않았을 뿐 아니라 제품 출시 후 요구되는 관찰 의무를 이행하지 않아 그 피해를 확대했다”고 설명했다.대법원은 원심 판결을 다시 한번 뒤집었다. 대법원은 “이 사건 피고인들이 관련 사건 피고인들과 서로 상대방의 가습기살균제의 개발 출시를 인식하였다거나 그에 관해 서로 의사를 전했음을 인정할 사정도 발견할 수 없다”고 밝혔다."
2024-11-29,법원 “애경이 낸 가습기 살균제 추가 분담금 107억원 취소돼야”,"환경부가 애경산업에 부과한 가습기 살균제 피해구제 추가 분담금 약 107억원을 취소해야 한다는 법원 판단이 나왔다. 추가 분담금을 부과한 것 자체는 문제가 아니지만, 분담금의 비율을 잘못 계산했다는 취지다.애경산업 로고서울행정법원 행정3부(재판장 최수진)는 29일 애경이 한국환경산업기술원을 상대로 낸 ‘가습기 살균제 피해구제 추가 분담금 부과 처분 취소 소송’에서 원고 승소로 판결했다. 재판부는 “애경에게 부과한 107억4548만원의 피해구제 추가 분담금 처분을 취소하라”고 했다.앞서 환경부는 2017년 ‘가습기 살균제 피해 구제를 위한 특별법’이 시행되면서 애경·옥시 등 기업 18곳에 총 1250억원의 분담금을 나눠 부과했다. 징수된 분담금은 피해자의 치료비와 생활수당 등에 쓰였다고 한다.이 분담금이 소진되자 환경부는 작년 2월 가습기 살균제 판매·제조 기업 총 23곳에 같은(1250억원) 규모의 분담금을 한 번 더 부과했다. 이에 애경은 부담해야 할 몫인 약 107억원을 추가 분담금으로 냈다.애경은 그해 5월 “앞으로 더 분담금을 낼 수 없다”며 추가 분담금 부과를 취소해달라는 소송을 제기했다. 애경은 가습기 살균제 특별법에 추가 분담금의 총액과 부과 횟수 등이 정해져 있지 않아 절차적 하자가 있다고 주장했다.재판부는 추가 분담금 부과 절차에는 문제가 없지만, 환경부가 추가 분담금의 기업간 분담 비율을 잘못 산정했다고 봤다. 이에 따라 애경에게 부과된 추가 분담금 107억원을 전부 취소해야 한다고 했다.앞서 환경부는 가습기 살균제를 판매한 애경과 제조한SK케미칼 사이의 분담 비율을 2대1로 정했다. 문제가 된 가습기 살균제 제품의 판매 단가를 정확히 확인할 수 없다는 이유에서다.이에 대해 재판부는 “추가 분담금 산정 과정에서 제품의 판매단가를 조사하는 절차를 거쳤다거나, 분담 비율을 2대1로 산정한 이유를 확인할 자료가 보이지 않는다”면서 “이 사건 처분은 평등·비례의 원칙에 위배돼 재량권 행사의 한계를 일탈해 위법하다”고 했다.다만 위해할 우려가 있는 가습기 살균제를 유통시킨 기업에게 분담금을 부과한 자체는 타당하다고 봤다. 재판부는 “건강상 피해가 발생하도록 할 위험이 있는지 증명되지 않은 가습기 살균제 사업자에게 일률적으로 분담금 및 추가 분담금 납부의무를 부담시킨 규정들은 그 타당성과 합리성이 충분히 인정된다”고 했다.재판부는 추가 분담금을 부과·징수하게 한 가습기 살균제 특별법에 위헌성이 있다며 애경산업이 제기한 위헌법률심판 제청 신청은 각하했다.가습기 살균제 사태는 2011년 원인 미상 폐 질환에 걸린 임산부들이 대거 발생하며 드러난 화학 재해다. 당시 가습기 살균제를 자주 사용한 영유아, 임산부, 기저질환자가 폐섬유증을 앓는 것으로 조사되며 대규모 피해자 조사가 시작된 바 있다."
2024-12-27,"‘가습기 살균제’ 유죄 판결, 대법서 뒤집혔다","대법, 일부 무죄로 사건 돌려보내인체에 해로운 가습기 살균제를 제조‧판매해 사망 12명을 포함해 98명의 사상자를 낸 혐의로 2심에서 유죄가 선고된SK케미칼과 애경산업 전직 대표들의 과실치사 등 사건이 26일 대법원에서 뒤집혔다.이날 대법원 1부(주심 서경환 대법관)는 업무상 과실치사 등의 혐의를 받는 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 각각 금고 4년을 선고한 원심을 파기하고 사건을 서울고법으로 돌려보냈다.이들은 2002년부터 2011년까지 인체 유해 물질인 클로로메틸아이소티아졸리논(CMIT)과 메틸아이소티아졸리논(MIT)이 첨가된 가습기 살균제 ‘가습기 메이트’를 제조‧판매한 혐의로 2019년 5~6월 재판에 넘겨졌다.검찰은 가습기 메이트 사용자 98명이 폐 질환과 천식 등을 앓았고, 이 중 12명이 숨졌다고 밝혔다. 98명 중 94명은 또 다른 유해성 물질인 폴리헥사메틸렌구아니딘(PHMG)‧염화에톡시에틸구아니딘(PGH)이 들어간 옥시레킷벤키저(옥시) 등 다른 가습기 살균제도 사용한 ‘복합 사용 피해자’였다.검찰은 홍 전 대표와 안 전 대표 등 회사 임직원이 신현우 전 옥시 대표 등과 공범 관계라고 봤다. 신 전 대표는 2018년 1월 징역 6년(업무상 과실치사 등)이 확정됐다.2021년 1월 1심은 홍 전 대표와 안 전 대표에게 무죄를 선고했다.CMIT나MIT가 피해자들의 질병이나 사망을 유발했다고 보기 어렵다고 봤다. 반면 2심은 홍·안 전 대표가 신 전 대표와 공모했다는 검찰 측 주장을 받아들여 지난 1월 두 사람에게 유죄를 선고했다. 복합 사용자들이CMIT·MIT로 피해를 봤다고 볼 수 있고, 이들이 옥시 제품(PHMG·PGH)을 더 많이 사용했더라도 인과 관계는 달라지지 않는다고 봤다.그러나 대법원은 신 전 대표와 홍·안 전 대표의 공모 관계를 인정하지 않았다. 재판부는 “서로 상대방 제품의 개발과 출시를 (미리) 인식했거나 (알았거나) 연락했다고 볼 수 없고, 주원료 등이 전혀 다른 두 제품이 상대방 제품을 활용 또는 응용해 만들어졌다고 보기도 어렵다”고 했다.이에 따라 파기환송심은 대법원 선고 취지에 따라 복합 사용자들이 정확히 어떤 제품이나 유해물질 때문에 피해를 봤는지 따져볼 것으로 보인다.가습기 살균제 사태는 2011년 4월 첫 사망자가 발생하며 불거졌다. 검찰은 1차 수사로 2016년 신 전 대표 등을 구속 기소했고, 3년 뒤 2차 수사로 홍 전 대표와 안 전 대표 등을 재판에 넘겼다. 이날 대법원 파기환송으로 가습기 살균제 사태 형사 재판은 빨라야 내년쯤 확정될 것으로 보인다.가습기 살균제 제조사의 민사상 책임과 국가의 배상 책임을 인정한 법원 판단은 앞서 내려졌다. 대법원은 작년 11월 옥시 등 가습기 살균제 제조·판매사가 피해자에게 위자료 500만원을 지급하라고 판결했고, 올 6월엔 국가가 가습기 살균제 피해자들에게 각각 300만~500만원을 지급하라고 판결했다."
2024-01-11,‘가습기살균제’ SK·애경 前대표 2심서 유죄로,"항소심 재판부 “업무상 과실 및 질병 인과관계 인정”가습기살균제 환경노출확인 피해자연합, 가습기살균제 피해자 비상대책위원회 등 관계자들이 11일 오후 서울 서초구 중앙지법 인근에서 이날 예정된 가습기살균제 2심 선고를 치를SK케미칼과 애경산업 관계자들의 엄벌을 촉구하는 기자회견을 하고 있다./연합뉴스가습기 살균제 사건으로 1심에서 무죄를 선고받았던SK케미칼과 애경산업 전직 임원 등이 항소심에서 모두 유죄 판결을 받았다.SK‧애경의 가습기 살균제가 인체에 유해하다는 점이 충분히 입증되지 않았다고 본 1심 판단이 뒤집힌 것이다.서울고법 형사5부(재판장 서승렬)는 11일 업무상 과실치사 등 혐의로 기소된 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 무죄를 선고한 원심을 파기하고 각각 금고 4년을 선고했다. 함께 기소된 회사 관계자들에게도 모두 금고형이나 금고형 집행유예를 선고했다. 다만 재판부는 홍 전 대표 등에게 실형을 선고하면서 방어권 보장이 필요하다며 법정구속하지 않았다.재판부는 “SK‧애경의 가습기 살균제는 출시 전 동물들을 상대로 한 안전성 검사가 제대로 이루어지지 않은 상태에서 모든 연령대의 불특정 다수 국민에게 유통됐다”며 “사실상 장기간에 걸쳐 여러 다양한 환경에서 전 국민을 상대로 만성 흡입 독성 시험이 행해진 것”이라고 질타했다. 그러면서 “피고인들은 제품 출시 전 수행하도록 요구되는 안전성 검사를 수행하였어야 함에도 이를 이행하지 않았을 뿐 아니라, 제품 출시 후 요구되는 관찰 의무를 이행하지 않아 그 피해를 확대시켰다”고 했다.재판부는 이어 “불특정 다수의 사람들이 원인을 모르는 상태에서 폐 질환 또는 천식으로 큰 고통을 겪었고, 상당수의 피해자들은 사망이라는 돌이킬 수 없는 참혹한 피해를 입었다”며 “피고인들에 대한 엄정한 처벌이 불가피하다”고 밝혔다.홍 전 대표 등은 2002~2011년 인체 유해 물질인 클로로메틸아이소티아졸리논(CMIT)·메틸아이소티아졸리논(MIT)이 첨가된 가습기 살균제를 판매한 혐의로 기소됐다. 재판의 쟁점은CMIT·MIT가 인체에 유해한 물질인지, 이들 성분을 담은 가습기 살균제를 제조·판매한 것이 업체에 요구되는 주의 의무를 위반한 업무상 과실에 해당하는지 여부다.2021년 1월 1심은CMIT·MIT가 폐 질환과 천식을 유발한다는 사실이 입증됐다고 보기 어렵다며 피고인 전원에게 무죄를 선고했다. 1심은 업무상 과실 등에 대한 판단은 내리지 않은 채, 가습기 살균제 사용과 질병 간 인과관계를 부정했다. 이에 불복해 항소한 검찰은CMIT·MIT가 질병을 일으킬 수 있다고 입증한 국립환경과학원 연구보고서 등을 새로운 증거로 제출했다.2심 재판부는 원심의 판단을 뒤집고 피해자들의 손을 들어줬다. 재판부는 “CMIT·MIT성분과 폐 질환, 천식과의 일반적 인과관계를 뒷받침하는 과학적 연구들이 존재한다”면서 2011~2022년 사이 실시된 여러 실험 결과를 제시했다.2심 재판부는 홍 전 대표 등에게 업무상 과실이 있다는 점도 인정했다. 재판부는 “CMIT·MIT성분의 가습기 살균제가 최초로 출시된 1994년 당시 유공(현SK케미칼)은 안전성 테스트가 필요하다는 의견에도 이를 무시한 채 가습기 살균제를 상품화했다”며 “이는 후속 제품의 판매에 관한 의사 결정 과정에서도 당연히 제기되었어야 하는 질문이지만, 피고인들은 어떠한 안전성 검사도 하지 않았다”고 지적했다.항소심을 심리한 서승렬 부장판사는 주문을 마친 후 1심의 무죄 판결을 뒤집기까지 깊은 고민이 있었다고 이야기했다. 서 부장판사는 “오늘 선고 직전까지도 이 사건 법리부터 양형까지 치열한 고민이 있었다”면서 “재판부가 내린 결론에 대해 불만이 있을 것으로 생각되지만, 가습기 살균제 사건에서 피고인들이 (제조‧판매업자에게 요구되는) 주의 의무를 위반한 과실을 굉장히 무겁게 봤다”고 말했다.가습기 살균제 피해자 단체들은 선고 후 “1심과 달리 2심에서 유죄가 선고돼 다행이지만, 형량은 매우 아쉽다”며 “대법원 확정 판결이 신속하게 이뤄져야 하고, 피해자들에 대한 배상‧보상도 제대로 진행돼야 한다”고 주장했다.앞서 같은 혐의로 2016년 기소됐던 옥시·롯데마트·홈플러스 등 업체 주요 관계자들은 2018년 대법원에서 대부분 유죄 판결이 확정됐다. 이 업체들은SK‧애경과 다른 폴리헥사메틸렌구아니딘(PHMG), 염화에톡시에틸구아니딘(PHG) 성분을 사용했는데, 가습기 살균제의 독성과 피해의 인과관계가 빨리 인정돼 수사‧재판이 먼저 이뤄졌다."
2024-01-12,‘가습기 살균제’ 2심… SK·애경 前대표 유죄,"1심 무죄서 금고 4년형으로‘가습기 살균제 사건’으로 1심에서 무죄를 선고받았던SK케미칼과 애경산업 전직 임직원 등이 항소심에서 모두 유죄 판결을 받았다.서울고법 형사5부(재판장 서승렬)는 11일 업무상 과실치사 등 혐의로 기소된 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 무죄를 선고한 원심을 파기하고 각각 금고(禁錮) 4년을 선고했다. 함께 기소된 관계자들도 금고형이나 금고형 집행유예를 선고받았다. 다만 재판부는 실형이 선고된 홍 전 대표, 안 전 대표 등을 법정 구속하지는 않았다.홍 전 대표, 안 전 대표 등은 지난 2002~2011년 인체 유해 물질인 클로로메틸아이소티아졸리논(CMIT)·메틸아이소티아졸리논(MIT)이 첨가된 가습기 살균제를 판매한 혐의로 기소됐다.SK와 애경이 판매한 가습기 살균제 사용자 중 98명이 폐 질환과 천식 등을 앓았고, 그중 12명이 숨졌다.1심은CMIT·MIT가 폐 질환과 천식을 유발한다는 사실이 입증됐다고 보기 어렵다며 피고인 전원에게 무죄를 선고했다.그러나 항소심은 “CMIT·MIT성분과 폐 질환, 천식과의 일반적 인과관계를 뒷받침하는 과학적 연구들이 존재한다”면서 “SK와 애경의 가습기 살균제는 출시 전 동물들을 상대로 한 안전성 검사가 제대로 이루어지지 않은 상태에서 모든 연령대의 불특정 다수 국민에게 유통됐다”고 밝혔다. 이어 “사실상 장기간에 걸쳐 여러 다양한 환경에서 전 국민을 상대로 만성 흡입 독성 시험이 행해진 것”이라며 “불특정 다수의 사람들이 원인을 모르는 상태에서 폐 질환 또는 천식으로 큰 고통을 겪었고, 상당수의 피해자들은 사망이라는 돌이킬 수 없는 참혹한 피해를 입었다”고 했다."
2024-01-18,"검찰, ‘가습기 살균제’ 무죄 판단 부분 상고…“대법 판단 필요”","안용찬 애경산업 대표‧홍지호 전SK케미칼 대표도 상고검찰이 이른바 ‘가습기 살균제’ 사건과 관련해 항소심 재판부가 일부 무죄로 판단한 부분에 대해 18일 대법원에 상고했다.서울 서초구 서울중앙지검 앞 전경./연합뉴스서울중앙지검 공판5부(부장 유민종)는 이날 이 사건 항소심을 심리한 서울고법 형사5부(재판장 서승렬)에 상고장을 제출했다고 밝혔다. 항소심 재판부는 이마트 가습기살균제 관련 혐의를 받는 이들 중 제품이 제조·판매된 이후에도 계속 근무한 이들에 대해 유죄를 선고하고, 그 이전에 퇴사한 이들은 공범으로 보기 어렵다고 판단했다.검찰은 이에 대해 “퇴사로 인해 가습기살균제의 위험에 대한 책임이 단절되지 않고 해당 제품의 제조·판매에 영향을 주었다고 보아야 하는 점, 과실범의 공동정범에 대한 대법원의 최종적인 법리적 판단을 받아볼 필요가 있다”며 상고 이유를 밝혔다.검찰의 상고에 앞서 안용찬 전 애경산업 대표의 변호인이 상고장을 15일 제출했고, 홍지호 전SK케미칼 대표 측도 16일 상고장을 제출했다. 함께 재판에 넘겨진 관계사 직원들을 대리하는 각 변호인 모두도 상고 의사를 재판부에 밝혔다고 한다.항소심 재판부는 11일 업무상 과실치사 등 혐의로 기소된 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 무죄를 선고한 원심을 파기하고 각각 금고 4년을 선고했다. 함께 기소된 회사 관계자들에게도 모두 금고형이나 금고형 집행유예를 선고했다. 다만 재판부는 홍 전 대표 등에게 실형을 선고하면서 방어권 보장이 필요하다며 법정구속하지 않았다.재판부는 “SK‧애경의 가습기 살균제는 출시 전 동물들을 상대로 한 안전성 검사가 제대로 이루어지지 않은 상태에서 모든 연령대의 불특정 다수 국민에게 유통됐다”며 “사실상 장기간에 걸쳐 여러 다양한 환경에서 전 국민을 상대로 만성 흡입 독성 시험이 행해진 것”이라고 질타했다. 그러면서 “피고인들은 제품 출시 전 수행하도록 요구되는 안전성 검사를 수행하였어야 함에도 이를 이행하지 않았을 뿐 아니라, 제품 출시 후 요구되는 관찰 의무를 이행하지 않아 그 피해를 확대시켰다”고 했다.재판부는 이어 “불특정 다수의 사람들이 원인을 모르는 상태에서 폐 질환 또는 천식으로 큰 고통을 겪었고, 상당수의 피해자들은 사망이라는 돌이킬 수 없는 참혹한 피해를 입었다”며 “피고인들에 대한 엄정한 처벌이 불가피하다”고 밝혔다."
2022-10-28,"檢, ‘가습기살균제 거짓 광고’ 애경산업 기소","서울중앙지검 형사2부(부장 권유식)는 28일 독성 물질이 있는 가습기살균제를 만들고도 인체에 무해하고 안전하다며 거짓·과장 광고를 한 혐의로 애경산업과 안용찬 전 대표를 불구속 기소했다.서울 서초구 서울중앙지검./연합뉴스애경산업은 2002년 10월 독성 물질이 포함된 가습기살균제 ‘가습기메이트 솔잎향’을 출시하면서 “영국에서 저독성을 인정받았다” “인체에 무해하다” 등의 내용을 담은 보도자료를 배포했고, 이런 내용을 담은 거짓·과장의 광고성 인터넷 기사도 보도됐다.애경산업은 또 2005년 10월 ‘가습기메이트 라벤더향’을 출시하면서 “인체에 안전하다” “심리적 안정감을 제공하여 피로회복에 도움을 준다” 등의 보도자료를 배포했고, 이런 내용 역시 인터넷 기사로 보도됐다. 하지만 당시 애경산업이 만든 제품들의 안전성은 검증되지 않은 상황이었다. 이들 제품은 사용한 소비자들은 폐질환 등을 앓았다.공정거래위원회가 2016년 7월 가습기살균제 관련 광고성 신문 기사는 광고로 보기 어렵다며 부당광고 심사 대상에서 제외하자, 피해자들은 헌법소원을 냈다. 헌법재판소는 지난 9월 공정위의 이런 결정에 대해 위헌이라고 판단했고, 공정위는 지난 24일 표시광고법 위반 혐의로 애경산업과SK케미칼,SK디스커버리 등 3개 법인과 이들 회사 전직 대표 3명을 검찰에 고발했다.검찰은 지난 25일부터 사흘간 수사·재판 기록, 고발인·피의자 조사 등을 마치고 애경산업과 안 전 대표부터 기소했다. 이들과 공범 관계로 고발된SK케미칼,SK디스커버리와 이들 회사의 전 대표이사 2명은 계속 수사하기로 했다. 공범인 애경산업 등이 기소되면 다른 공범들의 공소시효는 정지된다. 검찰은 “공소시효 논란이 있어 공정위 고발 즉시 신속히 수사를 진행해 일부 피고발인들을 기소했다”며 “다른 피고발인들은 계속 수사를 진행할 예정”이라고 설명했다.검찰 관계자는 “제품의 안전성이 검증되지 않았음에도 홍보 효과를 부각할 목적으로 누구나 쉽게 접할 수 있는 인터넷 기사 형식을 빌려 잘못된 정보를 제공해 소비자의 생명·신체를 위해에 노출한 중대한 사안”이라며 “국민의 생명과 건강을 위협하고 대량 인명 피해로 이어질 수 있는 중대 시민재해 사건에 엄정하게 대응하겠다”고 말했다."
2023-09-26,가습기 살균제 피해 구제 언제쯤...국회 공청회서 기업간 ‘조정안 공방’,"'가습기살균제 사건' 피해자들이 26일 오후 서울 여의도 국회에서 열린 환경노동위원회 '가습기살균제 피해구제 공청회'에 출석해 자리하고 있다.  /뉴스1국회에서는 26일 ‘가습기 살균제 피해 구제 공청회’가 열렸다. 이날 공청회에서는 살균제 원료 물질 업체와 판매 업체가 ‘가습기 살균제 조정위’ 조정안에 대한 이견을 보이면서 논의가 공전했다.국회 환경노동위원회는 이날 옥시레킷벤키저(옥시), 애경산업(애경),SK케미칼 등 기업 관계자와 가습기 살균제 피해자 단체 대표 등과 함께 가습기 살균제 피해 구제 공청회를 열었다.가습기 살균제 사건은 지난 2011년 살균제를 자주 사용한 영유아, 임산부, 기저질환자 등이 폐섬유증을 앓는 것으로 조사되면서 발생했다. 2014년 첫 가습기 살균제 공식 피해 판정이 나오며 피해 구제가 시작됐고, 2017년에는 가습기 살균제 피해 구제를 위한 특별법이 제정됐다.작년 3월 ‘가습기 살균제 피해 구제를 위한 조정위원회(조정위)’는 피해 구제를 위한 조정안을 내놨다. 당시 조정위는 가습기 살균제 사태에 책임이 있는 9개 기업에 7795억~9240억원의 조정액을 마련할 것을 주문했다. 그러나 조정액의 60% 이상을 부담해야 하는 옥시와 애경이 반대하면서 조정안이 이행되지 못했다.이날 공청회에서도 가습기 살균제 제조·판매 업체인 옥시와 애경은 원료 물질 제조 업체의 분담률을 높여야 한다는 입장을 되풀이했다. 옥시 박동석 대표는 “무엇보다 근원적 책임이 있는 원료 물질 사업자에게 총액의 20%만큼만 분담금을 부과했다”며 “가습기 살균제 문제의 종국적 해결, 합리적 조정 기준, 기업 간 공정한 분담 비율이 조정안에 반영되지 못한 점은 아쉽다”고 했다. 애경 채동석 대표도 “조정안 수용은 경영에 중대한 영향을 미치게 된다”며 “요건을 명확하게 반영한 조정안을 요청했던 것이고, 앞으로도 충분한 논의가 이뤄지길 바란다”고 했다.반면SK케미칼은 조정안을 수용한다는 입장을 내놓았다.SK케미칼 김철 대표는 “모든 이해당사자가 만족하긴 어렵지만 조정위가 마련한 조정안과 권고안에 대해 수용 의사를 이미 밝혔다”며 “어렵게 마련된 조정안이 시행되지 못하는 현 상황에 대해 매우 안타깝게 생각한다”고 말했다. 김 대표는 “현재 진행 중인 형사재판의 결과에 관계없이 저희 제품으로 피해를 입은 분들의 피해 회복 및 지원에 끝까지 최선을 다하겠다”고 했다.한국환경산업기술원 가습기 살균제 피해 지원 종합 포털에 따르면, 지난달 기준 가습기 살균제 피해자는 7859명이며 이 중 1825명이 사망했다."
2022-10-26,"헌재서 위헌 나자… 공정위, 가습기살균제 부당광고 뒷북 제재","애경,SK케미칼 검찰 고발남동일 공정거래위원회 소비자정책국장이 26일 정부세종청사에서 애경산업(주) 등 3개 가습기살균제 제조 판매 사업자의 부당한 광고행위에 대한 제재 내용을 발표하고 있다./뉴스1공정거래위원회가 인터넷 기사를 통해 독성 물질을 함유한 가습기살균제를 인체에 무해하다고 거짓·과장 광고한 애경산업과SK케미칼을 뒤늦게 검찰에 고발했다. 보도자료를 통한 인터넷 기사도 표시·광고법 위반 대상에 해당한다는 헌법재판소의 결정에 따른 것이다.공정위는 지난 24일 전원회의에서 애경산업과SK케미칼에 각각 7500만원과 3500만원의 과징금을 부과하기로 하고, 각 법인과 애경산업 안용찬 전 대표이사,SK케미칼 김창근·홍지호 전 대표이사를 검찰에 고발했다고 26일 밝혔다.공정위에 따르면,SK케미칼과 애경산업은 ‘홈크리닉 가습기 메이트’를 공동 개발해 2002년 솔잎향 제품과 2005년 라벤더향 제품을 각각 출시했다. 애경은 당시 “인체에 무해한 항균제를 사용한 것이 특징” “인체에 안전한 성분으로 온 가족의 건강을 돕는다” 등 문구를 담은 보도자료를 배포했다. 이런 내용이 2002년 10월과 2005년 10월 인터넷신문 기사를 통해 그대로 소비자들에게 전달됐다.그러나 당시 이 제품들이 인체에 무해하고 안전하다는 객관적인 증거는 없었고 오히려 인체 위해 가능성이 제기된 상태였다. 실제로 가습기살균제를 사용한 소비자 상당수가 폐 질환 등 피해를 겪었다.공정위는 2018년 이 사건을 조사할 때 인터넷 기사는 광고가 아니라고 보고 심사 대상에서 제외했으나, 헌재는 지난달 29일 공정위의 조치가 청구인의 평등권과 재판절차진술권을 침해한 것으로 보고 위헌결정을 내렸다."
2023-11-27,"제주항공 김이배 대표 사장 승진, 애경산업 신임 대표에 김상준 전무","애경그룹 2024년 임원 인사 단행애경그룹이 제주항공 김이배 대표이사 부사장을 사장으로 승진시켰다. 애경산업 신임 대표이사에는 김상준 전무를 선임했다.27일 애경그룹은 2024년 임원 정기 인사를 단행했다고 밝혔다. 전무 승진 4명, 상무 승진 4명, 상무보 선임 6명, 그룹 전입 1명 등 총 17명이 대상이 됐다.애경그룹은 “불확실한 대내·외 환경에 적극적으로 대처하고 극복할 수 있는 역량 있는 리더를 적극적으로 발탁해 세대교체를 단행하는 등 책임경영 기반을 마련하고자 했다”고 밝혔다.김이배 제주항공 신임 대표이사 사장. /애경그룹제주항공 김이배 대표이사 부사장은 이번 인사에서 사장으로 승진했다. 김 신임 사장은 1965년생으로 서울대 국제경제학과, 미국 시러큐스대 대학원(MBA)을 졸업했다. 아시아나항공 경영관리본부장, 전략기획본부장 등을 거쳤다.애경은 “김 신임 사장은 항공산업 전문가로 코로나 팬데믹이 본격화하던 2020년 6월 제주항공 대표를 맡아 위기를 극복하고 가파른 실적 회복을 이끄는 등 미래 경쟁력을 높이는 데 크게 기여했다”고 밝혔다.김상준 애경산업 신임 대표이사 전무. /애경그룹애경산업에서 경영지원부문장(CFO)으로 일하던 김상준 전무는 대표이사 직책을 맡아 채동석 애경산업 대표이사 부회장과 함께 각자대표 체제로 회사를 지휘하게 됐다. 김 전무는 1972년생으로 서울대 국제경제학과, 미국 켈로그 경영대학원(MBA)을 졸업했다.애경은 “김 신임 대표이사는 전략, 재무 등 경영 전반에 걸친 핵심 업무 능력과 성공 경험을 고루 갖춘 경영인으로, 애경산업을 글로벌 소비재 기업으로 성장시키기 위한 경험과 역량을 갖추고 있다”고 했다.▲AK아이에스▷전무 이찬성 ▲애경특수도료▷전무 박태한▷상무보 배건우 ▲제주항공▷전무 홍준모▷상무 박태하▷상무보 송경훈 최원선 정성윤 ▲AK홀딩스▷전무 이장환▷상무 이상신 ▲에이제이피▷상무 최용희 ▲애경산업▷상무 남기천▷상무보 오윤재 ▲AK플라자▷상무보 정종혁 ▲애경케미칼▷상무보 조영진"
